id,category_id,timestamp,title,url
1,1,04-08-2024,"Lãnh đạo các nước tiếp tục gửi thư chúc mừng Tổng Bí thư, Chủ tịch nước Tô Lâm",https://vov.vn/chinh-tri/lanh-dao-cac-nuoc-tiep-tuc-gui-thu-chuc-mung-tong-bi-thu-chu-tich-nuoc-to-lam-post1112252.vov
2,4,04-08-2024,Tìm thấy nạn nhân bị nước lũ cuốn trôi khi đang đánh cá ở Điện Biên,https://vov.vn/xa-hoi/tim-thay-nan-nhan-bi-nuoc-lu-cuon-troi-khi-dang-danh-ca-o-dien-bien-post1112246.vov
3,2,04-08-2024,Phê chuẩn kết quả bầu Chủ tịch UBND tỉnh Quảng Ngãi,https://vov.vn/chinh-tri/phe-chuan-ket-qua-bau-chu-tich-ubnd-tinh-quang-ngai-post1112250.vov
4,6,04-08-2024,Mỹ và Israel chuẩn bị cho khả năng Iran sẽ tấn công trong 48 giờ tới,https://vov.vn/the-gioi/my-va-israel-chuan-bi-cho-kha-nang-iran-se-tan-cong-trong-48-gio-toi-post1112223.vov
5,6,04-08-2024,"Thủ tướng chỉ đạo chủ động phòng, chống, khắc phục hậu quả thiên tai",https://vov.vn/xa-hoi/thu-tuong-chi-dao-chu-dong-phong-chong-khac-phuc-hau-qua-thien-tai-post1112209.vov
6,6,04-08-2024,Xảy ra 2 trận động đất ở Kon Tum,https://vov.vn/xa-hoi/xay-ra-2-tran-dong-dat-o-kon-tum-post1112207.vov
7,6,04-08-2024,Đàm phán về lệnh ngừng bắn ở Gaza thất bại - Hamas đưa thêm yêu sách,https://vov.vn/the-gioi/dam-phan-ve-lenh-ngung-ban-o-gaza-that-bai-hamas-dua-them-yeu-sach-post1112205.vov
8,4,04-08-2024,"Các ""nữ quái"" vùng cao vận chuyển 5 bánh heroin và hơn 11.000 viên ma tuý tổng hợp",https://vov.vn/phap-luat/cac-nu-quai-vung-cao-van-chuyen-5-banh-heroin-va-hon-11000-vien-ma-tuy-tong-hop-post1112273.vov
9,1,04-08-2024,Phó Thủ tướng Trần Lưu Quang kiểm tra việc khắc phục hậu quả lũ quét tại Mường Pồn,https://vov.vn/xa-hoi/pho-thu-tuong-tran-luu-quang-kiem-tra-viec-khac-phuc-hau-qua-lu-quet-tai-muong-pon-post1112248.vov
10,1,04-08-2024,"Tổng Bí thư, Chủ tịch nước Tô Lâm: Đẩy mạnh toàn diện, đồng bộ công cuộc đổi mới",https://vov.vn/chinh-tri/tong-bi-thu-chu-tich-nuoc-to-lam-day-manh-toan-dien-dong-bo-cong-cuoc-doi-moi-post1112249.vov
